,Country,Year,Emissions,Label
51,Egypt,1751,,CO2 Emissions (Metric Tons)
52,El Salvador,1751,,CO2 Emissions (Metric Tons)
53,Equatorial Guinea,1751,,CO2 Emissions (Metric Tons)
54,Eritrea,1751,,CO2 Emissions (Metric Tons)
55,Estonia,1751,,CO2 Emissions (Metric Tons)
56,Ethiopia,1751,,CO2 Emissions (Metric Tons)
57,Fiji,1751,,CO2 Emissions (Metric Tons)
58,Finland,1751,,CO2 Emissions (Metric Tons)
59,France,1751,,CO2 Emissions (Metric Tons)
60,Gabon,1751,,CO2 Emissions (Metric Tons)
61,Gambia,1751,,CO2 Emissions (Metric Tons)
62,Georgia,1751,,CO2 Emissions (Metric Tons)
63,Germany,1751,,CO2 Emissions (Metric Tons)
64,Ghana,1751,,CO2 Emissions (Metric Tons)
65,Greece,1751,,CO2 Emissions (Metric Tons)
66,Grenada,1751,,CO2 Emissions (Metric Tons)
67,Guatemala,1751,,CO2 Emissions (Metric Tons)
68,Guinea,1751,,CO2 Emissions (Metric Tons)
69,Guinea-Bissau,1751,,CO2 Emissions (Metric Tons)
70,Guyana,1751,,CO2 Emissions (Metric Tons)
71,Haiti,1751,,CO2 Emissions (Metric Tons)
72,Honduras,1751,,CO2 Emissions (Metric Tons)
73,Hungary,1751,,CO2 Emissions (Metric Tons)
74,Iceland,1751,,CO2 Emissions (Metric Tons)
75,India,1751,,CO2 Emissions (Metric Tons)
76,Indonesia,1751,,CO2 Emissions (Metric Tons)
77,Iran,1751,,CO2 Emissions (Metric Tons)
78,Iraq,1751,,CO2 Emissions (Metric Tons)
79,Ireland,1751,,CO2 Emissions (Metric Tons)
80,Israel,1751,,CO2 Emissions (Metric Tons)
81,Italy,1751,,CO2 Emissions (Metric Tons)
82,Jamaica,1751,,CO2 Emissions (Metric Tons)
83,Japan,1751,,CO2 Emissions (Metric Tons)
84,Jordan,1751,,CO2 Emissions (Metric Tons)
85,Kazakhstan,1751,,CO2 Emissions (Metric Tons)
86,Kenya,1751,,CO2 Emissions (Metric Tons)
87,Kiribati,1751,,CO2 Emissions (Metric Tons)
88,Kuwait,1751,,CO2 Emissions (Metric Tons)
89,Kyrgyz Republic,1751,,CO2 Emissions (Metric Tons)
90,Lao,1751,,CO2 Emissions (Metric Tons)
91,Latvia,1751,,CO2 Emissions (Metric Tons)
92,Lebanon,1751,,CO2 Emissions (Metric Tons)
93,Lesotho,1751,,CO2 Emissions (Metric Tons)
94,Liberia,1751,,CO2 Emissions (Metric Tons)
95,Libya,1751,,CO2 Emissions (Metric Tons)
96,Liechtenstein,1751,,CO2 Emissions (Metric Tons)
97,Lithuania,1751,,CO2 Emissions (Metric Tons)
98,Luxembourg,1751,,CO2 Emissions (Metric Tons)
99,"Macedonia, FYR",1751,,CO2 Emissions (Metric Tons)
100,Madagascar,1751,,CO2 Emissions (Metric Tons)
101,Malawi,1751,,CO2 Emissions (Metric Tons)
102,Malaysia,1751,,CO2 Emissions (Metric Tons)
103,Maldives,1751,,CO2 Emissions (Metric Tons)
104,Mali,1751,,CO2 Emissions (Metric Tons)
105,Malta,1751,,CO2 Emissions (Metric Tons)
106,Marshall Islands,1751,,CO2 Emissions (Metric Tons)
107,Mauritania,1751,,CO2 Emissions (Metric Tons)
108,Mauritius,1751,,CO2 Emissions (Metric Tons)
109,Mexico,1751,,CO2 Emissions (Metric Tons)
110,"Micronesia, Fed. Sts.",1751,,CO2 Emissions (Metric Tons)
111,Moldova,1751,,CO2 Emissions (Metric Tons)
112,Mongolia,1751,,CO2 Emissions (Metric Tons)
113,Montenegro,1751,,CO2 Emissions (Metric Tons)
114,Morocco,1751,,CO2 Emissions (Metric Tons)
115,Mozambique,1751,,CO2 Emissions (Metric Tons)
116,Myanmar,1751,,CO2 Emissions (Metric Tons)
117,Namibia,1751,,CO2 Emissions (Metric Tons)
118,Nauru,1751,,CO2 Emissions (Metric Tons)
119,Nepal,1751,,CO2 Emissions (Metric Tons)
120,Netherlands,1751,,CO2 Emissions (Metric Tons)
121,New Zealand,1751,,CO2 Emissions (Metric Tons)
122,Nicaragua,1751,,CO2 Emissions (Metric Tons)
123,Niger,1751,,CO2 Emissions (Metric Tons)
124,Nigeria,1751,,CO2 Emissions (Metric Tons)
125,North Korea,1751,,CO2 Emissions (Metric Tons)
126,Norway,1751,,CO2 Emissions (Metric Tons)
127,Oman,1751,,CO2 Emissions (Metric Tons)
128,Pakistan,1751,,CO2 Emissions (Metric Tons)
129,Palau,1751,,CO2 Emissions (Metric Tons)
130,Palestine,1751,,CO2 Emissions (Metric Tons)
131,Panama,1751,,CO2 Emissions (Metric Tons)
132,Papua New Guinea,1751,,CO2 Emissions (Metric Tons)
133,Paraguay,1751,,CO2 Emissions (Metric Tons)
134,Peru,1751,,CO2 Emissions (Metric Tons)
135,Philippines,1751,,CO2 Emissions (Metric Tons)
136,Poland,1751,,CO2 Emissions (Metric Tons)
137,Portugal,1751,,CO2 Emissions (Metric Tons)
138,Qatar,1751,,CO2 Emissions (Metric Tons)
139,Romania,1751,,CO2 Emissions (Metric Tons)
140,Russia,1751,,CO2 Emissions (Metric Tons)
141,Rwanda,1751,,CO2 Emissions (Metric Tons)
142,Samoa,1751,,CO2 Emissions (Metric Tons)
143,Sao Tome and Principe,1751,,CO2 Emissions (Metric Tons)
144,Saudi Arabia,1751,,CO2 Emissions (Metric Tons)
145,Senegal,1751,,CO2 Emissions (Metric Tons)
146,Serbia,1751,,CO2 Emissions (Metric Tons)
147,Seychelles,1751,,CO2 Emissions (Metric Tons)
148,Sierra Leone,1751,,CO2 Emissions (Metric Tons)
149,Singapore,1751,,CO2 Emissions (Metric Tons)
150,Slovak Republic,1751,,CO2 Emissions (Metric Tons)
151,Slovenia,1751,,CO2 Emissions (Metric Tons)
152,Solomon Islands,1751,,CO2 Emissions (Metric Tons)
153,Somalia,1751,,CO2 Emissions (Metric Tons)
154,South Africa,1751,,CO2 Emissions (Metric Tons)
155,South Korea,1751,,CO2 Emissions (Metric Tons)
156,South Sudan,1751,,CO2 Emissions (Metric Tons)
157,Spain,1751,,CO2 Emissions (Metric Tons)
158,Sri Lanka,1751,,CO2 Emissions (Metric Tons)
159,St. Kitts and Nevis,1751,,CO2 Emissions (Metric Tons)
160,St. Lucia,1751,,CO2 Emissions (Metric Tons)
161,St. Vincent and the Grenadines,1751,,CO2 Emissions (Metric Tons)
162,Sudan,1751,,CO2 Emissions (Metric Tons)
163,Suriname,1751,,CO2 Emissions (Metric Tons)
164,Swaziland,1751,,CO2 Emissions (Metric Tons)
165,Sweden,1751,,CO2 Emissions (Metric Tons)
166,Switzerland,1751,,CO2 Emissions (Metric Tons)
167,Syria,1751,,CO2 Emissions (Metric Tons)
168,Tajikistan,1751,,CO2 Emissions (Metric Tons)
169,Tanzania,1751,,CO2 Emissions (Metric Tons)
170,Thailand,1751,,CO2 Emissions (Metric Tons)
171,Timor-Leste,1751,,CO2 Emissions (Metric Tons)
172,Togo,1751,,CO2 Emissions (Metric Tons)
173,Tonga,1751,,CO2 Emissions (Metric Tons)
174,Trinidad and Tobago,1751,,CO2 Emissions (Metric Tons)
175,Tunisia,1751,,CO2 Emissions (Metric Tons)
176,Turkey,1751,,CO2 Emissions (Metric Tons)
177,Turkmenistan,1751,,CO2 Emissions (Metric Tons)
178,Tuvalu,1751,,CO2 Emissions (Metric Tons)
179,Uganda,1751,,CO2 Emissions (Metric Tons)
180,Ukraine,1751,,CO2 Emissions (Metric Tons)
181,United Arab Emirates,1751,,CO2 Emissions (Metric Tons)
182,United Kingdom,1751,9360.0,CO2 Emissions (Metric Tons)
183,United States,1751,,CO2 Emissions (Metric Tons)
184,Uruguay,1751,,CO2 Emissions (Metric Tons)
185,Uzbekistan,1751,,CO2 Emissions (Metric Tons)
186,Vanuatu,1751,,CO2 Emissions (Metric Tons)
187,Venezuela,1751,,CO2 Emissions (Metric Tons)
188,Vietnam,1751,,CO2 Emissions (Metric Tons)
189,Yemen,1751,,CO2 Emissions (Metric Tons)
190,Zambia,1751,,CO2 Emissions (Metric Tons)
191,Zimbabwe,1751,,CO2 Emissions (Metric Tons)
192,Afghanistan,1752,,CO2 Emissions (Metric Tons)
193,Albania,1752,,CO2 Emissions (Metric Tons)
194,Algeria,1752,,CO2 Emissions (Metric Tons)
195,Andorra,1752,,CO2 Emissions (Metric Tons)
196,Angola,1752,,CO2 Emissions (Metric Tons)
197,Antigua and Barbuda,1752,,CO2 Emissions (Metric Tons)
198,Argentina,1752,,CO2 Emissions (Metric Tons)
199,Armenia,1752,,CO2 Emissions (Metric Tons)
200,Australia,1752,,CO2 Emissions (Metric Tons)
201,Austria,1752,,CO2 Emissions (Metric Tons)
202,Azerbaijan,1752,,CO2 Emissions (Metric Tons)
203,Bahamas,1752,,CO2 Emissions (Metric Tons)
204,Bahrain,1752,,CO2 Emissions (Metric Tons)
205,Bangladesh,1752,,CO2 Emissions (Metric Tons)
206,Barbados,1752,,CO2 Emissions (Metric Tons)
207,Belarus,1752,,CO2 Emissions (Metric Tons)
208,Belgium,1752,,CO2 Emissions (Metric Tons)
209,Belize,1752,,CO2 Emissions (Metric Tons)
210,Benin,1752,,CO2 Emissions (Metric Tons)
211,Bhutan,1752,,CO2 Emissions (Metric Tons)
212,Bolivia,1752,,CO2 Emissions (Metric Tons)
213,Bosnia and Herzegovina,1752,,CO2 Emissions (Metric Tons)
214,Botswana,1752,,CO2 Emissions (Metric Tons)
215,Brazil,1752,,CO2 Emissions (Metric Tons)
216,Brunei,1752,,CO2 Emissions (Metric Tons)
217,Bulgaria,1752,,CO2 Emissions (Metric Tons)
218,Burkina Faso,1752,,CO2 Emissions (Metric Tons)
219,Burundi,1752,,CO2 Emissions (Metric Tons)
220,Cambodia,1752,,CO2 Emissions (Metric Tons)
221,Cameroon,1752,,CO2 Emissions (Metric Tons)
222,Canada,1752,,CO2 Emissions (Metric Tons)
223,Cape Verde,1752,,CO2 Emissions (Metric Tons)
224,Central African Republic,1752,,CO2 Emissions (Metric Tons)
225,Chad,1752,,CO2 Emissions (Metric Tons)
226,Chile,1752,,CO2 Emissions (Metric Tons)
227,China,1752,,CO2 Emissions (Metric Tons)
228,Colombia,1752,,CO2 Emissions (Metric Tons)
229,Comoros,1752,,CO2 Emissions (Metric Tons)
230,"Congo, Dem. Rep.",1752,,CO2 Emissions (Metric Tons)
231,"Congo, Rep.",1752,,CO2 Emissions (Metric Tons)
232,Costa Rica,1752,,CO2 Emissions (Metric Tons)
233,Cote d'Ivoire,1752,,CO2 Emissions (Metric Tons)
234,Croatia,1752,,CO2 Emissions (Metric Tons)
235,Cuba,1752,,CO2 Emissions (Metric Tons)
236,Cyprus,1752,,CO2 Emissions (Metric Tons)
237,Czech Republic,1752,,CO2 Emissions (Metric Tons)
238,Denmark,1752,,CO2 Emissions (Metric Tons)
239,Djibouti,1752,,CO2 Emissions (Metric Tons)
240,Dominica,1752,,CO2 Emissions (Metric Tons)
241,Dominican Republic,1752,,CO2 Emissions (Metric Tons)
242,Ecuador,1752,,CO2 Emissions (Metric Tons)
243,Egypt,1752,,CO2 Emissions (Metric Tons)
244,El Salvador,1752,,CO2 Emissions (Metric Tons)
245,Equatorial Guinea,1752,,CO2 Emissions (Metric Tons)
246,Eritrea,1752,,CO2 Emissions (Metric Tons)
247,Estonia,1752,,CO2 Emissions (Metric Tons)
248,Ethiopia,1752,,CO2 Emissions (Metric Tons)
249,Fiji,1752,,CO2 Emissions (Metric Tons)
250,Finland,1752,,CO2 Emissions (Metric Tons)
251,France,1752,,CO2 Emissions (Metric Tons)
252,Gabon,1752,,CO2 Emissions (Metric Tons)
253,Gambia,1752,,CO2 Emissions (Metric Tons)
254,Georgia,1752,,CO2 Emissions (Metric Tons)
255,Germany,1752,,CO2 Emissions (Metric Tons)
256,Ghana,1752,,CO2 Emissions (Metric Tons)
257,Greece,1752,,CO2 Emissions (Metric Tons)
258,Grenada,1752,,CO2 Emissions (Metric Tons)
259,Guatemala,1752,,CO2 Emissions (Metric Tons)
260,Guinea,1752,,CO2 Emissions (Metric Tons)
261,Guinea-Bissau,1752,,CO2 Emissions (Metric Tons)
262,Guyana,1752,,CO2 Emissions (Metric Tons)
263,Haiti,1752,,CO2 Emissions (Metric Tons)
264,Honduras,1752,,CO2 Emissions (Metric Tons)
265,Hungary,1752,,CO2 Emissions (Metric Tons)
266,Iceland,1752,,CO2 Emissions (Metric Tons)
267,India,1752,,CO2 Emissions (Metric Tons)
268,Indonesia,1752,,CO2 Emissions (Metric Tons)
269,Iran,1752,,CO2 Emissions (Metric Tons)
270,Iraq,1752,,CO2 Emissions (Metric Tons)
271,Ireland,1752,,CO2 Emissions (Metric Tons)
272,Israel,1752,,CO2 Emissions (Metric Tons)
273,Italy,1752,,CO2 Emissions (Metric Tons)
274,Jamaica,1752,,CO2 Emissions (Metric Tons)
275,Japan,1752,,CO2 Emissions (Metric Tons)
276,Jordan,1752,,CO2 Emissions (Metric Tons)
277,Kazakhstan,1752,,CO2 Emissions (Metric Tons)
278,Kenya,1752,,CO2 Emissions (Metric Tons)
279,Kiribati,1752,,CO2 Emissions (Metric Tons)
280,Kuwait,1752,,CO2 Emissions (Metric Tons)
281,Kyrgyz Republic,1752,,CO2 Emissions (Metric Tons)
282,Lao,1752,,CO2 Emissions (Metric Tons)
283,Latvia,1752,,CO2 Emissions (Metric Tons)
284,Lebanon,1752,,CO2 Emissions (Metric Tons)
285,Lesotho,1752,,CO2 Emissions (Metric Tons)
286,Liberia,1752,,CO2 Emissions (Metric Tons)
287,Libya,1752,,CO2 Emissions (Metric Tons)
288,Liechtenstein,1752,,CO2 Emissions (Metric Tons)
289,Lithuania,1752,,CO2 Emissions (Metric Tons)
290,Luxembourg,1752,,CO2 Emissions (Metric Tons)
291,"Macedonia, FYR",1752,,CO2 Emissions (Metric Tons)
292,Madagascar,1752,,CO2 Emissions (Metric Tons)
293,Malawi,1752,,CO2 Emissions (Metric Tons)
294,Malaysia,1752,,CO2 Emissions (Metric Tons)
295,Maldives,1752,,CO2 Emissions (Metric Tons)
296,Mali,1752,,CO2 Emissions (Metric Tons)
297,Malta,1752,,CO2 Emissions (Metric Tons)
298,Marshall Islands,1752,,CO2 Emissions (Metric Tons)
299,Mauritania,1752,,CO2 Emissions (Metric Tons)
300,Mauritius,1752,,CO2 Emissions (Metric Tons)
301,Mexico,1752,,CO2 Emissions (Metric Tons)
302,"Micronesia, Fed. Sts.",1752,,CO2 Emissions (Metric Tons)
303,Moldova,1752,,CO2 Emissions (Metric Tons)
304,Mongolia,1752,,CO2 Emissions (Metric Tons)
305,Montenegro,1752,,CO2 Emissions (Metric Tons)
306,Morocco,1752,,CO2 Emissions (Metric Tons)
307,Mozambique,1752,,CO2 Emissions (Metric Tons)
308,Myanmar,1752,,CO2 Emissions (Metric Tons)
309,Namibia,1752,,CO2 Emissions (Metric Tons)
310,Nauru,1752,,CO2 Emissions (Metric Tons)
311,Nepal,1752,,CO2 Emissions (Metric Tons)
312,Netherlands,1752,,CO2 Emissions (Metric Tons)
313,New Zealand,1752,,CO2 Emissions (Metric Tons)
314,Nicaragua,1752,,CO2 Emissions (Metric Tons)
315,Niger,1752,,CO2 Emissions (Metric Tons)
316,Nigeria,1752,,CO2 Emissions (Metric Tons)
317,North Korea,1752,,CO2 Emissions (Metric Tons)
318,Norway,1752,,CO2 Emissions (Metric Tons)
319,Oman,1752,,CO2 Emissions (Metric Tons)
320,Pakistan,1752,,CO2 Emissions (Metric Tons)
321,Palau,1752,,CO2 Emissions (Metric Tons)
322,Palestine,1752,,CO2 Emissions (Metric Tons)
323,Panama,1752,,CO2 Emissions (Metric Tons)
324,Papua New Guinea,1752,,CO2 Emissions (Metric Tons)
325,Paraguay,1752,,CO2 Emissions (Metric Tons)
326,Peru,1752,,CO2 Emissions (Metric Tons)
327,Philippines,1752,,CO2 Emissions (Metric Tons)
328,Poland,1752,,CO2 Emissions (Metric Tons)
329,Portugal,1752,,CO2 Emissions (Metric Tons)
330,Qatar,1752,,CO2 Emissions (Metric Tons)
331,Romania,1752,,CO2 Emissions (Metric Tons)
332,Russia,1752,,CO2 Emissions (Metric Tons)
333,Rwanda,1752,,CO2 Emissions (Metric Tons)
334,Samoa,1752,,CO2 Emissions (Metric Tons)
335,Sao Tome and Principe,1752,,CO2 Emissions (Metric Tons)
336,Saudi Arabia,1752,,CO2 Emissions (Metric Tons)
337,Senegal,1752,,CO2 Emissions (Metric Tons)
338,Serbia,1752,,CO2 Emissions (Metric Tons)
339,Seychelles,1752,,CO2 Emissions (Metric Tons)
340,Sierra Leone,1752,,CO2 Emissions (Metric Tons)
341,Singapore,1752,,CO2 Emissions (Metric Tons)
342,Slovak Republic,1752,,CO2 Emissions (Metric Tons)
343,Slovenia,1752,,CO2 Emissions (Metric Tons)
344,Solomon Islands,1752,,CO2 Emissions (Metric Tons)
345,Somalia,1752,,CO2 Emissions (Metric Tons)
346,South Africa,1752,,CO2 Emissions (Metric Tons)
347,South Korea,1752,,CO2 Emissions (Metric Tons)
348,South Sudan,1752,,CO2 Emissions (Metric Tons)
349,Spain,1752,,CO2 Emissions (Metric Tons)
350,Sri Lanka,1752,,CO2 Emissions (Metric Tons)
351,St. Kitts and Nevis,1752,,CO2 Emissions (Metric Tons)
352,St. Lucia,1752,,CO2 Emissions (Metric Tons)
353,St. Vincent and the Grenadines,1752,,CO2 Emissions (Metric Tons)
354,Sudan,1752,,CO2 Emissions (Metric Tons)
355,Suriname,1752,,CO2 Emissions (Metric Tons)
356,Swaziland,1752,,CO2 Emissions (Metric Tons)
357,Sweden,1752,,CO2 Emissions (Metric Tons)
358,Switzerland,1752,,CO2 Emissions (Metric Tons)
359,Syria,1752,,CO2 Emissions (Metric Tons)
360,Tajikistan,1752,,CO2 Emissions (Metric Tons)
361,Tanzania,1752,,CO2 Emissions (Metric Tons)
362,Thailand,1752,,CO2 Emissions (Metric Tons)
363,Timor-Leste,1752,,CO2 Emissions (Metric Tons)
364,Togo,1752,,CO2 Emissions (Metric Tons)
365,Tonga,1752,,CO2 Emissions (Metric Tons)
366,Trinidad and Tobago,1752,,CO2 Emissions (Metric Tons)
367,Tunisia,1752,,CO2 Emissions (Metric Tons)
368,Turkey,1752,,CO2 Emissions (Metric Tons)
369,Turkmenistan,1752,,CO2 Emissions (Metric Tons)
370,Tuvalu,1752,,CO2 Emissions (Metric Tons)
371,Uganda,1752,,CO2 Emissions (Metric Tons)
372,Ukraine,1752,,CO2 Emissions (Metric Tons)
373,United Arab Emirates,1752,,CO2 Emissions (Metric Tons)
374,United Kingdom,1752,9360.0,CO2 Emissions (Metric Tons)
375,United States,1752,,CO2 Emissions (Metric Tons)
376,Uruguay,1752,,CO2 Emissions (Metric Tons)
377,Uzbekistan,1752,,CO2 Emissions (Metric Tons)
378,Vanuatu,1752,,CO2 Emissions (Metric Tons)
379,Venezuela,1752,,CO2 Emissions (Metric Tons)
380,Vietnam,1752,,CO2 Emissions (Metric Tons)
381,Yemen,1752,,CO2 Emissions (Metric Tons)
382,Zambia,1752,,CO2 Emissions (Metric Tons)
383,Zimbabwe,1752,,CO2 Emissions (Metric Tons)
384,Afghanistan,1753,,CO2 Emissions (Metric Tons)
385,Albania,1753,,CO2 Emissions (Metric Tons)
386,Algeria,1753,,CO2 Emissions (Metric Tons)
387,Andorra,1753,,CO2 Emissions (Metric Tons)
388,Angola,1753,,CO2 Emissions (Metric Tons)
389,Antigua and Barbuda,1753,,CO2 Emissions (Metric Tons)
390,Argentina,1753,,CO2 Emissions (Metric Tons)
391,Armenia,1753,,CO2 Emissions (Metric Tons)
392,Australia,1753,,CO2 Emissions (Metric Tons)
393,Austria,1753,,CO2 Emissions (Metric Tons)
394,Azerbaijan,1753,,CO2 Emissions (Metric Tons)
395,Bahamas,1753,,CO2 Emissions (Metric Tons)
396,Bahrain,1753,,CO2 Emissions (Metric Tons)
397,Bangladesh,1753,,CO2 Emissions (Metric Tons)
398,Barbados,1753,,CO2 Emissions (Metric Tons)
399,Belarus,1753,,CO2 Emissions (Metric Tons)
400,Belgium,1753,,CO2 Emissions (Metric Tons)
401,Belize,1753,,CO2 Emissions (Metric Tons)
402,Benin,1753,,CO2 Emissions (Metric Tons)
403,Bhutan,1753,,CO2 Emissions (Metric Tons)
404,Bolivia,1753,,CO2 Emissions (Metric Tons)
405,Bosnia and Herzegovina,1753,,CO2 Emissions (Metric Tons)
406,Botswana,1753,,CO2 Emissions (Metric Tons)
407,Brazil,1753,,CO2 Emissions (Metric Tons)
408,Brunei,1753,,CO2 Emissions (Metric Tons)
409,Bulgaria,1753,,CO2 Emissions (Metric Tons)
410,Burkina Faso,1753,,CO2 Emissions (Metric Tons)
411,Burundi,1753,,CO2 Emissions (Metric Tons)
412,Cambodia,1753,,CO2 Emissions (Metric Tons)
413,Cameroon,1753,,CO2 Emissions (Metric Tons)
414,Canada,1753,,CO2 Emissions (Metric Tons)
415,Cape Verde,1753,,CO2 Emissions (Metric Tons)
416,Central African Republic,1753,,CO2 Emissions (Metric Tons)
417,Chad,1753,,CO2 Emissions (Metric Tons)
418,Chile,1753,,CO2 Emissions (Metric Tons)
419,China,1753,,CO2 Emissions (Metric Tons)
420,Colombia,1753,,CO2 Emissions (Metric Tons)
421,Comoros,1753,,CO2 Emissions (Metric Tons)
422,"Congo, Dem. Rep.",1753,,CO2 Emissions (Metric Tons)
423,"Congo, Rep.",1753,,CO2 Emissions (Metric Tons)
424,Costa Rica,1753,,CO2 Emissions (Metric Tons)
425,Cote d'Ivoire,1753,,CO2 Emissions (Metric Tons)
426,Croatia,1753,,CO2 Emissions (Metric Tons)
427,Cuba,1753,,CO2 Emissions (Metric Tons)
428,Cyprus,1753,,CO2 Emissions (Metric Tons)
429,Czech Republic,1753,,CO2 Emissions (Metric Tons)
430,Denmark,1753,,CO2 Emissions (Metric Tons)
431,Djibouti,1753,,CO2 Emissions (Metric Tons)
432,Dominica,1753,,CO2 Emissions (Metric Tons)
433,Dominican Republic,1753,,CO2 Emissions (Metric Tons)
434,Ecuador,1753,,CO2 Emissions (Metric Tons)
435,Egypt,1753,,CO2 Emissions (Metric Tons)
436,El Salvador,1753,,CO2 Emissions (Metric Tons)
437,Equatorial Guinea,1753,,CO2 Emissions (Metric Tons)
438,Eritrea,1753,,CO2 Emissions (Metric Tons)
439,Estonia,1753,,CO2 Emissions (Metric Tons)
440,Ethiopia,1753,,CO2 Emissions (Metric Tons)
441,Fiji,1753,,CO2 Emissions (Metric Tons)
442,Finland,1753,,CO2 Emissions (Metric Tons)
443,France,1753,,CO2 Emissions (Metric Tons)
444,Gabon,1753,,CO2 Emissions (Metric Tons)
445,Gambia,1753,,CO2 Emissions (Metric Tons)
446,Georgia,1753,,CO2 Emissions (Metric Tons)
447,Germany,1753,,CO2 Emissions (Metric Tons)
448,Ghana,1753,,CO2 Emissions (Metric Tons)
449,Greece,1753,,CO2 Emissions (Metric Tons)
450,Grenada,1753,,CO2 Emissions (Metric Tons)
451,Guatemala,1753,,CO2 Emissions (Metric Tons)
452,Guinea,1753,,CO2 Emissions (Metric Tons)
453,Guinea-Bissau,1753,,CO2 Emissions (Metric Tons)
454,Guyana,1753,,CO2 Emissions (Metric Tons)
455,Haiti,1753,,CO2 Emissions (Metric Tons)
456,Honduras,1753,,CO2 Emissions (Metric Tons)
457,Hungary,1753,,CO2 Emissions (Metric Tons)
458,Iceland,1753,,CO2 Emissions (Metric Tons)
459,India,1753,,CO2 Emissions (Metric Tons)
460,Indonesia,1753,,CO2 Emissions (Metric Tons)
461,Iran,1753,,CO2 Emissions (Metric Tons)
462,Iraq,1753,,CO2 Emissions (Metric Tons)
463,Ireland,1753,,CO2 Emissions (Metric Tons)
464,Israel,1753,,CO2 Emissions (Metric Tons)
465,Italy,1753,,CO2 Emissions (Metric Tons)
466,Jamaica,1753,,CO2 Emissions (Metric Tons)
467,Japan,1753,,CO2 Emissions (Metric Tons)
468,Jordan,1753,,CO2 Emissions (Metric Tons)
469,Kazakhstan,1753,,CO2 Emissions (Metric Tons)
470,Kenya,1753,,CO2 Emissions (Metric Tons)
471,Kiribati,1753,,CO2 Emissions (Metric Tons)
472,Kuwait,1753,,CO2 Emissions (Metric Tons)
473,Kyrgyz Republic,1753,,CO2 Emissions (Metric Tons)
474,Lao,1753,,CO2 Emissions (Metric Tons)
475,Latvia,1753,,CO2 Emissions (Metric Tons)
476,Lebanon,1753,,CO2 Emissions (Metric Tons)
477,Lesotho,1753,,CO2 Emissions (Metric Tons)
478,Liberia,1753,,CO2 Emissions (Metric Tons)
479,Libya,1753,,CO2 Emissions (Metric Tons)
480,Liechtenstein,1753,,CO2 Emissions (Metric Tons)
481,Lithuania,1753,,CO2 Emissions (Metric Tons)
482,Luxembourg,1753,,CO2 Emissions (Metric Tons)
